Max Schmid of Grain,Max Misorientation,Shared Surface Area,Grain Size of Grain,m-prime,Sphericity of Grain,Delta Max Schmid,Delta Grain Size,Number of Neighbors,Number of High Neighbor Schmids,Number of High Grain Schmids,Delta Number of Schmids,Average Schmid Factor of Grain,Schmid Dominance Factor in Grain,Schmid Variance in Grain,FIP
0.4802859996940937,0.9432415063071135,432.0,7128,-0.19217728742543497,0.42072651,-0.11176321256051824,28512,2,2.142857142857143,2,-0.14285714285714285,0.2804763168354231,0.0018139484258129501,0.022442482346935022,0.0060810501475699
0.4614866861869041,0.922421294108314,288.0,12528,-0.3242202873084832,0.4524534,-0.08350339441352617,4320,4,1.7142857142857142,4,2.2857142857142856,0.2786423629056998,0.014068059041974279,0.0275300893791927,0.0070966134637491
0.4762994833273053,1.0220697127279068,72.0,24192,-0.004031509842216748,0.015373516,0.0008064159776755564,50112,2,1.8461538461538463,1,-0.8461538461538461,0.21580599675835402,0.0935559963793724,0.01990334672621477,0.0086710676159976
0.4862714901901562,0.9203150031360813,792.0,19656,0.5658261109755491,0.56383389,0.01093128999905607,21168,2,2.3333333333333335,2,-0.3333333333333333,0.2778830214318526,0.008791340267103154,0.021159986691717876,0.0081858500560186
0.48695203305096774,0.9008086329082969,108.0,16632,0.25441315681036747,0.48640347,-0.09616411940600078,9288,2,1.8888888888888888,2,0.1111111111111111,0.27144612523799777,0.025961071312978867,0.020782300212296306,0.0076019106576187
0.36852278713357545,1.038109519876148,108.0,35640,0.02415889614622727,0.52508086,0.09720129507672653,-27432,4,2.588235294117647,0,-2.588235294117647,0.1667025601288862,0.0455488558252411,0.014515678117356504,0.0066750561706102
0.45028984218143353,1.0279157585681669,468.0,94176,0.1435038731823163,0.67482156,0.02390159821796939,-88992,4,1.9523809523809523,2,0.047619047619047616,0.16145109957234746,0.04306783051522611,0.031464597687119525,0.0097786298166476
0.43160960861549824,1.0531199522489185,36.0,111024,0.5510216759529246,0.040848866,0.0026991404074228065,-103248,2,1.9583333333333333,1,-0.9583333333333334,0.1798638789755661,0.07616832350985026,0.01704774552081244,0.0096772263516364
0.47308161114026664,0.9045934887835961,288.0,4752,-0.14308067190237292,0.35082346,-0.04206678427269983,84672,2,1.8333333333333333,1,-0.8333333333333334,0.23403877753143498,0.07348338277196331,0.019839007386951966,0.0107768751523264
0.49253222666010116,0.8508040476727119,360.0,5832,-0.5892699054100977,0.29681715,-0.04145625443323159,26352,2,2.0,2,0.0,0.24824802550281735,0.003384446031401922,0.016808144568361383,0.0078652431326787
0.43430874902292105,1.0531199522489187,36.0,7776,0.8236645621830591,0.34592959,-0.0026991404074228065,103248,1,1.875,4,2.125,0.279214441485162,0.0015608004453739888,0.03484836769051608,0.0059730281807763
0.39078791364496696,0.9008086329082969,108.0,25920,-0.6327445012112608,0.015135823,0.09616411940600078,-9288,3,2.0,0,-2.0,0.1765802200336498,0.011445301994066404,0.018995724616327758,0.0058455692175603
0.469140635012493,0.9666768763793854,432.0,72576,-0.18416298808138384,0.026357172,0.02806214517671929,-31752,2,1.7692307692307692,4,2.230769230769231,0.26682241102201215,0.033105533891448824,0.0234652498904946,0.011314047007744
0.43851633577237137,1.055376527005987,540.0,18360,0.5626923421979753,0.5422641,0.006220890298280379,-9288,2,2.5,2,-0.5,0.16381575439461296,0.007969763007596886,0.03248198925362123,0.006579344884675
